PDB ID,PDB Chain Id,Protein,Source Organism,Protein length,Experimental Methods,Resolution (Å),Oligomeric State,Chain 1,Chain 2,Category,BSA_complex,BSA_chain1,BSA_chain2,FNP_complex,FNP_chain1,FNP_chain2,FBU_complex,FBU_chain1,FBU_chain2,LD_complex,LD_chain1,LD_chain2
1A02,NFJ:AB,AP-1 FRAGMENT FOS+NUCLEAR FACTOR OF ACTIVATED T CELLS,H. sapiens,301+56,X,2.7,Homodimer + Monomer,N,F,Protein-Protein,799.4,411.18,388.22,43.27,49.74,36.42,4.6,2.38,6.67,32.6,13.19,20.13
1A02,NFJ:AB,AP-1 FRAGMENT FOS+NUCLEAR FACTOR OF ACTIVATED T CELLS,H. sapiens,301+56,X,2.7,Homodimer + Monomer,N,J,Protein-Protein,651.02,316.16,334.86,41.26,51.52,31.57,11.94,8.82,15.15,50.87,26.29,27.21
1A0A,AB:CD,PROTEIN (PHOSPHATE SYSTEM POSITIVE REGULATORY PROTEIN PHO4),S. cerevisiae,63,X,2.8,Homodimer,A,B,Protein-Protein,1859.83,932.9,926.93,72.37,75.59,69.14,28.33,28.24,28.42,72.73,35.74,39.39
1AM9,ABCD:EFGH,PROTEIN (STEROL REGULATORY ELEMENT BINDING PROTEIN 1A),H. sapiens,82,X,2.3,Homodimer,A,B,Protein-Protein,2838.55,1421.74,1416.81,75.17,75.94,74.41,40.56,39.06,42.15,71.82,37.03,36.89
1AN2,A:B,PROTEIN (TRANSCRIPTION FACTOR MAX (TF MAX)),H. sapiens,86,X,2.9,Homodimer,A,B,Protein-Protein,918.72,448.67,470.05,40.93,52.73,29.67,20.19,18.37,21.82,54.06,23.67,30.36
1AN4,AB:CD,PROTEIN (UPSTREAM STIMULATORY FACTOR),H. sapiens,65,X,2.9,Homodimer,A,B,Protein-Protein,1535.06,771.29,763.77,77.31,76.15,78.49,13.25,7.35,18.07,58.82,26.65,35.59
1APL,CD:AB,PROTEIN (MAT-ALPHA2 HOMEODOMAIN),S. cerevisiae,83,X,2.7,Monomer,C,D,Protein-Protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1AWC,AB:DE,PROTEIN (GA BINDING PROTEIN ALPHA)+PROTEIN (GA BINDING PROTEIN BETA 1),M. musculus,110+153,X,2.15,Heterodimer,A,B,Protein-Protein,1653.76,800.27,853.49,65.15,58.42,71.46,28.24,35.16,20.25,71.91,40.02,35.87
1B01,AB:EF,TRANSCRIPTIONAL REPRESSOR COPG,S. agalactiae,45,X,2.56,Homodimer,A,B,Protein-Protein,3295.31,1660.8,1634.51,68.56,69.27,67.85,28.52,24.34,32.68,107.44,52.62,54.22
1B3T,AB:CD,PROTEIN (NUCLEAR PROTEIN EBNA1),E. virus,147,X,2.2,Homodimer,A,B,Protein-Protein,4396.97,2207.98,2188.99,59.97,59.5,60.45,41.19,41.74,40.64,99.02,51.07,51.58
1B72,AB:DE,PROTEIN (HOMEOBOX PROTEIN HOX-B1)+PROTEIN (PBX1),H. sapiens,87+97,X,2.35,Heterodimer,A,B,Protein-Protein,762.72,399.6,363.12,73.4,75.04,71.6,34.18,31.58,36.59,54.53,28.47,26.68
1BF5,A:BC,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA,H. sapiens,575,X,2.9,Homodimer,A,B,Protein-Protein,2598.24,1299.14,1299.1,61.19,61.19,61.19,29.93,29.93,29.93,79.58,41.45,41.45
1CF7,AB:CD,PROTEIN (TRANSCRIPTION FACTOR DP-2)+PROTEIN (TRANSCRIPTION FACTOR E2F-4),H. sapiens,76+95,X,2.6,Heterodimer,A,B,Protein-Protein,1271.06,636.41,634.65,76.58,81.23,71.92,30.33,32.26,28.33,70.7,38.19,33.4
1CGP,AB:CDEF,PROTEIN (CATABOLITE GENE ACTIVATOR PROTEIN (CAP)),E. coli,205,X,3.0,Homodimer,A,B,Protein-Protein,3019.89,1515.41,1504.48,80.22,81.31,79.13,38.61,38.71,38.51,85.39,44.62,43.5
1CMA,AB:CD,PROTEIN (MET REPRESSOR),E. coli,104,X,2.8,Homodimer,A,B,Protein-Protein,3192.67,1598.83,1593.84,80.35,80.14,80.56,35.25,35.17,35.33,103.78,51.54,51.43
1D66,AB:DE,PROTEIN (GAL4),S. cerevisiae,66,X,2.7,Homo 2-mer,A,B,Protein-Protein,1294.97,637.49,657.48,72.67,72.08,73.24,35.25,35.0,35.48,70.34,33.73,37.48
1DDN,ABCD:EF,DIPHTHERIA TOX REPRESSOR,C. diphtheriae,226,X,3.0,Homotetramer,A,B,Protein-Protein,1654.42,822.89,831.53,76.78,76.97,76.59,48.12,48.1,48.15,75.08,39.11,37.98
1DDN,ABCD:EF,DIPHTHERIA TOX REPRESSOR,C. diphtheriae,226,X,3.0,Homotetramer,C,D,Protein-Protein,1651.54,832.46,819.08,75.73,74.44,77.04,48.45,45.68,51.25,76.22,40.1,38.48
1DH3,AC:BD,TRANSCRIPTION FACTOR CREB,M. musculus,55,X,3.0,Homodimer,A,C,Protein-Protein,1900.99,921.45,979.54,70.63,70.4,70.84,25.53,25.27,25.77,64.83,31.6,35.92
1EFA,ABC:DE,LAC REPRESSOR,E. coli,333,X,2.6,Homodimer,AB,C,Protein-Protein,681.58,342.41,339.17,68.75,72.43,65.04,24.24,23.53,25.0,52.09,26.29,27.06
1EGW,ABCD:EFGH,"MADS BOX TRANSCRIPTION ENHANCER FACTOR 2, POLYPEPTIDE A",H. sapiens,77,X,1.5,Homodimer,A,B,Protein-Protein,3891.18,1953.49,1937.69,72.32,72.23,72.41,44.15,43.39,44.92,96.68,50.22,49.67
1EXJ,A:M,MULTIDRUG-EFFLUX TRANSPORTER REGULATOR,B. subtilis,278,X,3.0,Homodimer,A,B,Protein-Protein,5963.43,2981.72,2981.71,73.08,73.08,73.08,23.57,23.57,23.57,88.91,46.24,46.24
1GD2,EFGHIJ:ABCD,TRANSCRIPTION FACTOR PAP1,S. pombe,70,X,2.0,Homodimer,E,F,Protein-Protein,2302.21,1158.57,1143.64,74.52,76.14,72.88,35.62,35.51,35.71,66.75,34.02,34.55
1GLU,AB:CD,PROTEIN (GLUCOCORTICOID RECEPTOR),R. norvegicus,81,X,2.9,Homodimer,A,B,Protein-Protein,1239.82,611.32,628.5,50.72,50.89,50.55,20.18,23.73,16.36,68.56,35.59,34.8
1GT0,CD:AB,OCTAMER-BINDING TRANSCRIPTION FACTOR 1+TRANSCRIPTION FACTOR SOX-2,M. musculus,159+80,X,2.6,Heterodimer,C,D,Protein-Protein,255.98,128.99,126.99,50.8,65.79,35.59,7.14,6.67,7.69,24.93,14.0,10.31
1GXP,ABEF:CDGH,PHOSPHATE REGULON TRANSCRIPTIONAL REGULATORY PROTEIN,E. coli,106,X,2.5,Homodimer,A,B,Protein-Protein,792.33,378.68,413.65,53.29,52.49,54.03,25.88,29.79,21.05,55.34,31.49,24.74
1H88,ABC:DE,CCAAT/ENHANCER BINDING PROTEIN BETA+MYB PROTO-ONCOGENE PROTEIN,M. musculus,159+78,X,2.8,Homodimer + Monomer,A,B,Protein-Protein,2014.53,1005.52,1009.01,83.43,85.87,80.99,36.08,36.63,35.48,62.32,33.86,30.58
